token,count
go,19885
a,18372
ka,17982
le,17587
ba,11441
o,10570
e,9738
ke,9015
ya,8780
se,7874
be,7514
ge,6088
re,5027
sa,4483
ga,4284
na,3840
mo,3413
wa,3353
gore,3065
di,2864
la,2102
ye,2040
yo,1653
tla,1105
tša,1086
no,914
ile,894
wo,888
bego,842
bona,787
ao,745
[s],612
gona,592
goba,591
motho,578
yeo,546
swanetše,522
setšhaba,517
gagwe,516
šetše,491
tšeo,476
bjalo,476
tše,455
pele,444
tseba,440
fela,419
yena,415
nna,410
seo,399
mongwe,381
fa,362
thoma,357
bo,352
batho,343
moka,329
yona,325
tsebe,325
ra,303
bja,292
taba,291
rata,289
lebaka,280
gomme,279
mang,276
napa,275
leo,272
wena,260
molaotheo,259
molao,256
monna,253
bao,249
dira,248
lego,245
kwa,237
pelo,235
ja,232
gago,221
fe,215
nngwe,207
tsela,207
mosadi,199
bolela,195
gare,190
maatla,188
nyaka,187
sengwe,186
gabotse,181
nako,180
nka,176
thuto,175
tle,170
lemoga,170
gopola,169
moya,165
kgobokano,165
tloga,164
mahlo,164
fase,160
gobane,158
gape,156
fao,154
maemo,153
swana,149
bangwe,148
bone,147
bana,146
tšona,143
bile,143
tee,143
kgone,139
kae,139
lona,136
morago,136
eng,135
mola,133
tsena,133
tšwa,128
profense,128
tokelo,127
sona,127
meetse,127
tlo,126
tšwela,126
šoma,126
ntle,126
selo,126
rate,125
mokgwa,125
mangwalo,123
karolo,121
yoo,120
tšea,115
nago,114
sephetho,114
ilego,113
lengwe,113
moo,112
maikarabelo,111
kgona,110
feta,110
woo,109
rena,107
khansele,106
netefatšo,105
temana,103
reng,103
sepela,102
dingwe,101
gae,100
lekgotla,100
banna,98
kgoši,98
hwetša,97
fihla,97
leloko,97
ofe,97
nnete,97
botša,95
mabaka,95
fetša,94
baka,93
mathomo,92
dilo,92
nke,91
ebile,89
rile,89
bago,89
tlile,88
godimo,88
laetša,88
ngwana,88
basadi,86
motse,84
kudu,84
mogwera,84
maloko,83
lerato,83
mme,83
ee,82
molato,82
matšatši,80
mangwe,80
lapa,79
ngaka,79
mabedi,79
swara,78
hlogo,78
tlase,78
t,77
hlwa,77
mathata,77
badimo,77
kua,76
molaokakanywa,76
maphelo,76
dipoelo,76
bjang,76
rego,75
batswadi,75
ditaba,75
bophelo,74
leka,74
morero,73
modimo,72
yela,72
bjale,71
dutše,71
mehla,70
kgorotsheko,69
fetola,69
palamente,69
lena,69
malapa,68
letšatši,68
theramelao,68
efe,68
american,67
nama,67
diprofense,67
states,67
kgomo,67
sego,66
phela,66
kgoro,66
realo,66
maoto,65
botse,65
gwa,64
fele,63
beilwego,63
ekwa,62
tsoge,62
mopresidente,61
duma,60
lapeng,60
bohloko,60
melao,59
hlaba,59
wona,59
dirago,59
bothata,59
pela,59
bokgoni,59
kgopolo,58
dula,58
tikologo,58
mešomo,57
hlola,57
tsebiša,57
ratago,57
lethabo,57
thabile,56
merero,56
netefatša,56
bantši,55
morwa,55
polelo,55
lehono,55
mantšu,55
mollo,55
thedimogane,55
kgolo,54
aga,53
šala,53
mofsa,53
tlhahlo,52
gana,52
boleng,52
kgopela,52
ditirelo,52
hloka,52
etulo,52
kgauswi,51
latelago,51
makala,51
ikana,51
borwa,50
mengwe,50
boga,49
tirelo,49
mohla,49
tšwetša,49
bjo,49
united,48
maloba,48
bohlokwa,48
sephiri,48
hlwekišo,48
mmušo,47
laola,47
fišago,47
nnoši,47
eupša,47
nyala,46
botšiša,46
kego,46
yola,46
thomile,46
phišo,45
hlokomela,45
tšwago,45
lekala,45
iri,45
iša,45
mpona,45
morwalo,44
nkga,44
laolwa,44
dirwa,44
amogela,44
fiwa,44
gane,44
rwele,44
tshepo,44
mosegare,44
kgolwa,44
šitwa,44
bitša,43
dithuto,43
kobi,43
ruri,43
tate,43
palelwa,42
akaretša,42
nyake,42
ditokelo,41
tšeago,41
bokaone,41
ntši,41
bolelago,41
hlokomele,41
mmagwe,41
moruti,41
lenaneo,40
phethagatša,40
ithuta,40
naga,40
mabapi,40
mokgatlo,40
bobedi,40
boraro,39
kwešiša,39
tloge,39
bea,39
loga,39
bolele,39
maano,39
kwele,39
hlakana,39
mma,39
tema,39
padi,39
thekgo,39
bošego,39
moriting,39
maleka,38
swanetšego,38
kgopelo,38
manoni,38
sehlola,38
motsotso,38
thuše,37
mošomo,37
lebala,37
dirile,37
mogopolo,37
bophelong,37
tharo,37
kwana,37
matlakala,37
hlabirwa,37
ditaelo,37
tšhelete,37
kgole,37
sehlare,37
moso,37
maknete,37
maabane,37
kgatelelo,36
beke,36
šomiša,36
baetapele,36
madi,36
tsheko,36
mananeo,36
laela,35
dikomiti,35
thaka,35
sebaka,35
marapo,35
bonala,35
kwala,35
melawana,35
boima,35
sekgole,35
neng,35
fetoga,34
thuša,34
robala,34
gešo,34
tsene,34
kgetha,34
swanela,34
letsogong,34
bontši,34
kabinete,34
tšama,34
taamane,34
bale,34
tshepedišo,34
eba,34
tsebo,33
tsoga,33
senya,33
ditulo,33
sello,33
ngwanaka,33
diphedi,33
moswane,32
dipuku,32
megokgo,32
science,32
leboga,32
felago,32
mengwaga,32
kile,32
karolwana,32
gola,32
mogolo,32
mohuta,32
bogale,32
fiction,31
hloma,31
dipeelano,31
romelwa,31
hlwe,31
bohlatse,31
lešaka,31
afrika,30
felego,30
leano,30
countries,30
tšewa,30
kgonago,30
dumelago,30
hlomilwego,30
polase,30
botatagwe,30
legolo,30
inama,30
phethagatšwa,30
kgaogana,30
